Food,1.33705042725e-13,0.0266713797279,0.0245488619252
Public Places,2.27984542658e-13,0.0447327773517,0.0358935049458
owned_free_clear,3.56080735487e-14,0.0251806935243,0.0323442084275
Doctors,5.19997137555e-14,0.0208586673557,0.00381973049597
race_some_other,1.15436781408e-13,0.01965020951,0.0149285961663
race_american_indian_alaska,8.48750333632e-14,0.0176231457619,0.0193788557312
armed_forces,0.00331977252435,0.00417114934771,0.000124299279593
race_asian,1.0907196412e-14,0.0244085720735,0.00716341074473
owned_mortgage_loan,4.45801906301e-14,0.0127960092464,0.0153494449167
Banks,1.36656990563e-13,0.0508210968863,0.100286529324
f_ho_no_hus,4.61546128667e-13,0.0313358602604,0.0468326947914
Shopping,2.24645755864e-13,0.0494584649182,0.0901934154803
F/M 60+,2.29714888575e-15,0.0191430362286,0.00265606575497
civilian_labor_force,0.498388481432,0.00608540210091,0.00179459710944
in_labor_force,0.498291746039,0.0112890593877,0.00144152391394
Schools ,2.07054240409e-13,0.0538968041151,0.228802331786
Night Clubs,1.25193723694e-13,0.017724310875,0.0307392969645
Public Transport,2.61350647961e-14,0.0517896455159,0.1348562656
m_ho_no_wife,1.33955498319e-13,0.0140340394419,0.005675621008
Places of Worship,1.48629133868e-13,0.0460297200219,0.0904222716793
