,Latitude ,Longitude,City,Alcohol Places,Places of Worship,Places to shop,Food Places,Public Transport Places,Doctors,Public Places,Police Station,University ,Schools ,Banks,Night Clubs
63,40.56915232,-74.19825936,New York City,0,0,0,0,0,0,0,0,0,0,0,0
64,40.57301311,-74.19825936,New York City,0,0,1,0,0,0,0,0,0,0,0,0
65,40.5768739,-74.19825936,New York City,0,0,1,0,0,0,1,0,0,0,0,0
66,40.58073469,-74.19825936,New York City,0,0,0,0,0,0,1,0,0,0,0,0
67,40.58459548,-74.19825936,New York City,0,0,17,3,10,2,3,0,0,1,0,0
68,40.58845627,-74.19825936,New York City,0,0,20,7,14,2,5,0,0,1,2,0
69,40.59231706,-74.19825936,New York City,0,0,3,4,11,1,2,0,0,0,1,0
70,40.59617785,-74.19825936,New York City,0,0,0,0,0,0,1,0,0,0,0,0
71,40.60003864,-74.19825936,New York City,0,0,12,2,0,0,3,0,0,0,1,0
72,40.60389943,-74.19825936,New York City,0,0,4,1,0,0,1,0,0,0,0,0
73,40.60776022,-74.19825936,New York City,0,0,0,0,0,0,1,0,0,0,0,0
74,40.61162101,-74.19825936,New York City,0,0,0,0,0,0,1,0,0,0,0,0
75,40.6154818,-74.19825936,New York City,0,0,0,0,0,0,0,0,0,0,0,0
76,40.61934259,-74.19825936,New York City,0,0,0,0,0,0,0,0,0,0,0,0
77,40.62320338,-74.19825936,New York City,0,0,0,0,0,0,0,0,0,0,0,0
78,40.62706417,-74.19825936,New York City,0,0,0,0,0,0,0,0,0,0,0,0
79,40.63092496,-74.19825936,New York City,0,0,0,0,2,0,0,0,0,0,0,0
80,40.538266,-74.19240914,New York City,0,0,8,0,21,1,3,0,0,0,0,0
81,40.54212679,-74.19240914,New York City,0,1,6,0,20,12,1,0,0,2,0,0
82,40.54598758,-74.19240914,New York City,0,0,5,0,14,15,1,0,0,1,0,0
83,40.54984837,-74.19240914,New York City,1,1,22,5,22,19,2,0,0,2,6,0
84,40.55370916,-74.19240914,New York City,1,2,23,5,14,9,2,0,0,3,6,0
85,40.55756995,-74.19240914,New York City,1,1,19,9,24,4,7,0,0,1,4,1
86,40.56143074,-74.19240914,New York City,2,1,14,8,8,1,2,0,0,0,1,1
87,40.56529153,-74.19240914,New York City,1,0,12,3,4,0,1,0,0,0,1,0
88,40.56915232,-74.19240914,New York City,0,0,0,0,0,0,0,0,0,0,0,0
89,40.57301311,-74.19240914,New York City,0,0,1,0,0,0,0,0,0,0,0,0
90,40.5768739,-74.19240914,New York City,0,0,1,0,0,0,1,0,0,0,0,0
91,40.58073469,-74.19240914,New York City,0,0,0,0,0,0,1,0,0,0,0,0
92,40.58459548,-74.19240914,New York City,1,0,13,7,0,1,6,0,0,0,2,0
93,40.58845627,-74.19240914,New York City,1,0,23,15,22,4,12,0,0,2,5,0
94,40.59231706,-74.19240914,New York City,1,3,14,9,21,2,8,0,0,2,5,0
95,40.59617785,-74.19240914,New York City,0,1,14,4,5,0,5,0,0,0,1,0
96,40.60003864,-74.19240914,New York City,0,0,17,4,5,0,5,0,0,0,3,0
