,Latitude ,Longitude,Lat,Lon,VIOLATION CRIMES,FELONY CRIMES,MISDEMEANOR CRIMES
82,40.65022891,-73.97010078,40.65022891,-73.97010078,94,278,425
83,40.6540897,-73.97010078,40.6540897,-73.97010078,22,121,148
84,40.65795049,-73.97010078,40.65795049,-73.97010078,3,21,29
85,40.66181128,-73.97010078,40.66181128,-73.97010078,2,10,13
86,40.66567207,-73.97010078,40.66567207,-73.97010078,4,19,28
87,40.66953286,-73.97010078,40.66953286,-73.97010078,25,90,129
88,40.538266,-73.96425056,40.538266,-73.96425056,0,0,0
89,40.54212679,-73.96425056,40.54212679,-73.96425056,0,0,0
90,40.54598758,-73.96425056,40.54598758,-73.96425056,0,0,0
91,40.54984837,-73.96425056,40.54984837,-73.96425056,0,0,0
92,40.55370916,-73.96425056,40.55370916,-73.96425056,0,0,0
93,40.55756995,-73.96425056,40.55756995,-73.96425056,0,0,0
94,40.56143074,-73.96425056,40.56143074,-73.96425056,0,0,0
95,40.56529153,-73.96425056,40.56529153,-73.96425056,0,0,0
96,40.56915232,-73.96425056,40.56915232,-73.96425056,0,0,0
97,40.57301311,-73.96425056,40.57301311,-73.96425056,69,159,212
98,40.5768739,-73.96425056,40.5768739,-73.96425056,227,557,855
99,40.58073469,-73.96425056,40.58073469,-73.96425056,295,618,984
100,40.58459548,-73.96425056,40.58459548,-73.96425056,189,365,619
101,40.58845627,-73.96425056,40.58845627,-73.96425056,116,323,430
102,40.59231706,-73.96425056,40.59231706,-73.96425056,78,293,397
103,40.59617785,-73.96425056,40.59617785,-73.96425056,71,271,423
104,40.60003864,-73.96425056,40.60003864,-73.96425056,64,231,325
105,40.60389943,-73.96425056,40.60389943,-73.96425056,101,290,353
106,40.60776022,-73.96425056,40.60776022,-73.96425056,119,366,469
107,40.61162101,-73.96425056,40.61162101,-73.96425056,74,280,363
108,40.6154818,-73.96425056,40.6154818,-73.96425056,68,262,319
109,40.61934259,-73.96425056,40.61934259,-73.96425056,87,249,394
110,40.62320338,-73.96425056,40.62320338,-73.96425056,86,236,347
111,40.62706417,-73.96425056,40.62706417,-73.96425056,99,249,347
112,40.63092496,-73.96425056,40.63092496,-73.96425056,125,295,417
113,40.63478575,-73.96425056,40.63478575,-73.96425056,124,348,515
114,40.63864654,-73.96425056,40.63864654,-73.96425056,147,495,766
115,40.64250733,-73.96425056,40.64250733,-73.96425056,191,561,888
116,40.64636812,-73.96425056,40.64636812,-73.96425056,326,764,1157
117,40.65022891,-73.96425056,40.65022891,-73.96425056,413,896,1456
118,40.6540897,-73.96425056,40.6540897,-73.96425056,324,678,1124
119,40.65795049,-73.96425056,40.65795049,-73.96425056,222,458,837
120,40.66181128,-73.96425056,40.66181128,-73.96425056,151,383,697
121,40.66567207,-73.96425056,40.66567207,-73.96425056,122,323,588
122,40.66953286,-73.96425056,40.66953286,-73.96425056,187,347,621
123,40.538266,-73.95840034,40.538266,-73.95840034,0,0,0
124,40.54212679,-73.95840034,40.54212679,-73.95840034,0,0,0
125,40.54598758,-73.95840034,40.54598758,-73.95840034,0,0,0
126,40.54984837,-73.95840034,40.54984837,-73.95840034,0,0,0
127,40.55370916,-73.95840034,40.55370916,-73.95840034,0,0,0
128,40.55756995,-73.95840034,40.55756995,-73.95840034,0,0,0
129,40.56143074,-73.95840034,40.56143074,-73.95840034,0,0,0
130,40.56529153,-73.95840034,40.56529153,-73.95840034,0,0,0
