,Latitude ,Longitude,City,Alcohol Places,Places of Worship,Places to shop,Food Places,Public Transport Places,Doctors,Public Places,Police Station,University ,Schools ,Banks,Night Clubs
63,40.75060945,-74.01105232,New York City,5,1,51,27,17,12,37,0,1,3,5,0
64,40.75447024,-74.01105232,New York City,4,1,36,7,4,2,19,0,0,1,0,0
65,40.75833103,-74.01105232,New York City,0,0,0,0,0,0,2,0,0,0,0,0
66,40.67339365,-74.0052021,New York City,2,4,43,18,33,6,18,0,0,6,12,0
67,40.67725444,-74.0052021,New York City,6,4,43,22,32,14,23,0,0,12,13,1
68,40.68111523,-74.0052021,New York City,7,3,50,28,27,27,23,0,0,15,9,1
69,40.68497602,-74.0052021,New York City,13,1,42,27,19,18,16,2,0,7,6,0
70,40.68883681,-74.0052021,New York City,6,0,31,11,11,2,11,1,0,3,1,0
71,40.6926976,-74.0052021,New York City,0,0,4,2,3,0,6,0,0,0,1,0
72,40.69655839,-74.0052021,New York City,0,0,5,0,0,0,3,0,0,0,0,0
73,40.70041918,-74.0052021,New York City,1,0,33,3,5,6,19,1,0,3,9,1
74,40.70427997,-74.0052021,New York City,26,5,144,76,36,69,103,2,3,20,40,3
75,40.70814076,-74.0052021,New York City,29,15,187,91,46,82,128,3,4,20,40,4
76,40.71200155,-74.0052021,New York City,28,23,193,96,52,81,147,8,5,20,40,8
77,40.71586234,-74.0052021,New York City,31,13,209,93,50,87,152,9,3,20,40,11
78,40.71972313,-74.0052021,New York City,35,13,213,94,46,84,132,2,5,20,40,18
79,40.72358392,-74.0052021,New York City,37,6,198,86,43,59,115,2,5,20,34,17
80,40.72744471,-74.0052021,New York City,36,10,191,90,42,53,119,1,4,20,31,20
81,40.7313055,-74.0052021,New York City,34,16,177,91,44,46,110,1,1,20,35,20
82,40.73516629,-74.0052021,New York City,33,22,181,79,42,53,88,1,1,20,28,18
83,40.73902708,-74.0052021,New York City,28,16,181,73,42,64,81,0,1,20,31,20
84,40.74288787,-74.0052021,New York City,27,10,161,76,41,59,76,0,2,20,30,20
85,40.74674866,-74.0052021,New York City,24,12,116,61,40,50,75,0,4,20,25,10
86,40.75060945,-74.0052021,New York City,22,3,105,42,36,30,80,0,4,13,18,5
87,40.75447024,-74.0052021,New York City,19,1,76,37,29,6,58,0,1,3,9,4
