,Latitude ,Longitude,Lat,Lon,VIOLATION CRIMES,FELONY CRIMES,MISDEMEANOR CRIMES
0,40.8085213,-73.975951,40.8085213,-73.975951,0,0,0
1,40.8085213,-73.97010078,40.8085213,-73.97010078,45,97,137
2,40.81238209,-73.97010078,40.81238209,-73.97010078,0,0,0
3,40.81624288,-73.97010078,40.81624288,-73.97010078,0,0,0
4,40.8085213,-73.96425056,40.8085213,-73.96425056,130,418,585
5,40.81238209,-73.96425056,40.81238209,-73.96425056,94,240,367
6,40.81624288,-73.96425056,40.81624288,-73.96425056,73,161,365
7,40.82010367,-73.96425056,40.82010367,-73.96425056,13,46,130
8,40.82396446,-73.96425056,40.82396446,-73.96425056,0,0,0
9,40.8085213,-73.95840034,40.8085213,-73.95840034,267,597,1105
10,40.81238209,-73.95840034,40.81238209,-73.95840034,428,752,1588
11,40.81624288,-73.95840034,40.81624288,-73.95840034,492,784,1897
12,40.82010367,-73.95840034,40.82010367,-73.95840034,283,606,1448
13,40.82396446,-73.95840034,40.82396446,-73.95840034,152,358,952
14,40.82782525,-73.95840034,40.82782525,-73.95840034,9,16,45
15,40.83168604,-73.95840034,40.83168604,-73.95840034,0,0,0
16,40.83554683,-73.95840034,40.83554683,-73.95840034,0,0,0
17,40.8085213,-73.95255012,40.8085213,-73.95255012,672,1322,3504
18,40.81238209,-73.95255012,40.81238209,-73.95255012,777,1340,3373
19,40.81624288,-73.95255012,40.81624288,-73.95255012,644,1040,2357
20,40.82010367,-73.95255012,40.82010367,-73.95255012,544,971,2292
21,40.82396446,-73.95255012,40.82396446,-73.95255012,528,973,2378
22,40.82782525,-73.95255012,40.82782525,-73.95255012,337,594,1596
23,40.83168604,-73.95255012,40.83168604,-73.95255012,103,212,670
24,40.83554683,-73.95255012,40.83554683,-73.95255012,30,67,175
25,40.83940762,-73.95255012,40.83940762,-73.95255012,2,19,41
26,40.84326841,-73.95255012,40.84326841,-73.95255012,0,0,0
27,40.8471292,-73.95255012,40.8471292,-73.95255012,0,0,0
28,40.8085213,-73.9466999,40.8085213,-73.9466999,715,1442,3648
29,40.81238209,-73.9466999,40.81238209,-73.9466999,805,1418,3809
30,40.81624288,-73.9466999,40.81624288,-73.9466999,601,949,2148
31,40.82010367,-73.9466999,40.82010367,-73.9466999,598,1049,2414
32,40.82396446,-73.9466999,40.82396446,-73.9466999,773,1329,3141
33,40.82782525,-73.9466999,40.82782525,-73.9466999,685,1166,2947
34,40.83168604,-73.9466999,40.83168604,-73.9466999,516,858,1993
35,40.83554683,-73.9466999,40.83554683,-73.9466999,321,690,1279
36,40.83940762,-73.9466999,40.83940762,-73.9466999,161,380,676
37,40.84326841,-73.9466999,40.84326841,-73.9466999,37,129,214
38,40.8471292,-73.9466999,40.8471292,-73.9466999,15,47,82
39,40.85098999,-73.9466999,40.85098999,-73.9466999,15,21,31
40,40.85485078,-73.9466999,40.85485078,-73.9466999,0,0,0
41,40.85871157,-73.9466999,40.85871157,-73.9466999,0,0,0
42,40.8085213,-73.94084968,40.8085213,-73.94084968,638,1530,3655
43,40.81238209,-73.94084968,40.81238209,-73.94084968,602,1252,2787
44,40.81624288,-73.94084968,40.81624288,-73.94084968,641,1222,2457
45,40.82010367,-73.94084968,40.82010367,-73.94084968,798,1390,3159
46,40.82396446,-73.94084968,40.82396446,-73.94084968,810,1316,3132
47,40.82782525,-73.94084968,40.82782525,-73.94084968,759,1178,2873
48,40.83168604,-73.94084968,40.83168604,-73.94084968,676,1167,2644
49,40.83554683,-73.94084968,40.83554683,-73.94084968,462,997,1845
50,40.83940762,-73.94084968,40.83940762,-73.94084968,457,1072,2100
51,40.84326841,-73.94084968,40.84326841,-73.94084968,409,917,1679
52,40.8471292,-73.94084968,40.8471292,-73.94084968,322,705,1204
53,40.85098999,-73.94084968,40.85098999,-73.94084968,214,483,791
54,40.85485078,-73.94084968,40.85485078,-73.94084968,89,202,310
55,40.85871157,-73.94084968,40.85871157,-73.94084968,12,38,98
56,40.86257236,-73.94084968,40.86257236,-73.94084968,0,0,0
57,40.86643315,-73.94084968,40.86643315,-73.94084968,0,0,0
58,40.87029394,-73.94084968,40.87029394,-73.94084968,0,0,0
59,40.8085213,-73.93499946,40.8085213,-73.93499946,337,752,2466
60,40.81238209,-73.93499946,40.81238209,-73.93499946,266,694,2087
61,40.81624288,-73.93499946,40.81624288,-73.93499946,297,632,1370
62,40.82010367,-73.93499946,40.82010367,-73.93499946,313,601,1279
63,40.82396446,-73.93499946,40.82396446,-73.93499946,364,583,1366
64,40.82782525,-73.93499946,40.82782525,-73.93499946,428,655,1647
65,40.83168604,-73.93499946,40.83168604,-73.93499946,347,580,1391
66,40.83554683,-73.93499946,40.83554683,-73.93499946,254,425,1071
67,40.83940762,-73.93499946,40.83940762,-73.93499946,232,502,1034
68,40.84326841,-73.93499946,40.84326841,-73.93499946,379,864,1775
69,40.8471292,-73.93499946,40.8471292,-73.93499946,556,1261,2247
70,40.85098999,-73.93499946,40.85098999,-73.93499946,524,1209,2014
71,40.85485078,-73.93499946,40.85485078,-73.93499946,334,684,1238
72,40.85871157,-73.93499946,40.85871157,-73.93499946,102,282,539
73,40.86257236,-73.93499946,40.86257236,-73.93499946,30,90,184
74,40.86643315,-73.93499946,40.86643315,-73.93499946,11,47,138
75,40.87029394,-73.93499946,40.87029394,-73.93499946,4,17,56
76,40.87415473,-73.93499946,40.87415473,-73.93499946,0,0,0
77,40.87801552,-73.93499946,40.87801552,-73.93499946,0,0,0
78,40.8085213,-73.92914924,40.8085213,-73.92914924,274,630,1540
79,40.81238209,-73.92914924,40.81238209,-73.92914924,375,736,1799
80,40.81624288,-73.92914924,40.81624288,-73.92914924,262,551,1166
81,40.82010367,-73.92914924,40.82010367,-73.92914924,176,399,847
82,40.82396446,-73.92914924,40.82396446,-73.92914924,131,281,727
83,40.82782525,-73.92914924,40.82782525,-73.92914924,191,553,1146
84,40.83168604,-73.92914924,40.83168604,-73.92914924,253,559,1355
85,40.83554683,-73.92914924,40.83554683,-73.92914924,312,602,1497
86,40.83940762,-73.92914924,40.83940762,-73.92914924,258,436,1155
87,40.84326841,-73.92914924,40.84326841,-73.92914924,174,332,831
88,40.8471292,-73.92914924,40.8471292,-73.92914924,251,631,1145
89,40.85098999,-73.92914924,40.85098999,-73.92914924,374,823,1324
90,40.85485078,-73.92914924,40.85485078,-73.92914924,379,741,1245
91,40.85871157,-73.92914924,40.85871157,-73.92914924,316,710,1244
92,40.86257236,-73.92914924,40.86257236,-73.92914924,298,747,1320
93,40.86643315,-73.92914924,40.86643315,-73.92914924,192,447,808
